iter	Passed	Remaining
0	83	41577
1	184	46007
2	256	42542
3	334	41459
4	439	43516
5	531	43746
6	608	42860
7	699	43020
8	752	41037
9	817	40070
10	878	39070
11	936	38079
12	992	37191
13	1072	37226
14	1132	36616
15	1198	36264
16	1258	35752
17	1327	35547
18	1613	40849
19	1744	41863
20	1803	41144
21	1869	40611
22	1921	39855
23	1972	39116
24	2042	38812
25	2098	38260
26	2163	37896
27	2223	37480
28	2282	37065
29	2347	36775
30	2406	36403
31	2473	36171
32	2537	35906
33	2594	35556
34	2670	35473
35	2725	35129
36	2791	34936
37	2854	34705
38	2911	34413
39	2983	34306
40	3038	34012
41	3103	33847
42	3171	33701
43	3228	33456
44	3291	33283
45	3356	33131
46	3418	32949
47	3481	32780
48	3536	32547
49	3591	32326
50	3659	32221
51	3718	32036
52	3774	31830
53	3839	31712
54	3893	31498
55	3951	31326
56	4015	31208
57	4069	31011
58	4135	30908
59	4204	30829
60	4263	30683
61	4330	30594
62	4387	30433
63	4446	30294
64	4517	30229
65	4573	30077
66	4644	30014
67	4702	29872
68	4755	29707
69	4821	29616
70	4881	29495
71	4934	29333
72	5004	29274
73	5065	29161
74	5128	29062
75	5209	29064
76	5284	29029
77	5370	29053
78	5430	28939
79	5513	28945
80	5587	28901
81	5662	28863
82	5716	28721
83	5780	28628
84	5850	28563
85	5908	28443
86	5964	28315
87	6034	28250
88	6091	28131
89	6149	28013
90	6216	27940
91	6275	27828
92	6342	27755
93	6408	27681
94	6468	27575
95	6531	27488
96	6591	27387
97	6654	27297
98	6719	27217
99	6779	27116
100	6832	26992
101	6899	26923
102	6957	26818
103	7021	26737
104	7086	26659
105	7146	26562
106	7214	26497
107	7275	26406
108	7332	26302
109	7400	26237
110	7456	26131
111	7518	26046
112	7586	25983
113	7655	25921
114	7722	25854
115	7777	25746
116	7836	25653
117	7897	25567
118	7956	25474
119	8024	25412
120	8095	25356
121	8165	25301
122	8242	25263
123	8307	25190
124	8376	25129
125	8437	25044
126	8493	24945
127	8562	24885
128	8621	24796
129	8679	24701
130	8742	24624
131	8801	24536
132	8860	24449
133	8927	24384
134	8989	24303
135	9055	24236
136	9116	24155
137	9173	24063
138	9238	23992
139	9292	23895
140	9349	23804
141	9420	23750
142	9476	23657
143	9539	23584
144	9601	23507
145	9656	23413
146	9723	23349
147	9777	23255
148	9834	23167
149	9905	23113
150	9963	23027
151	10021	22943
152	10089	22881
153	10153	22812
154	10220	22747
155	10284	22678
156	10346	22603
157	10407	22526
158	10468	22451
159	10525	22366
160	10591	22301
161	10651	22222
162	10711	22146
163	10778	22082
164	10831	21990
165	10897	21926
166	10952	21839
167	11009	21756
168	11075	21692
169	11137	21619
170	11195	21540
171	11261	21475
172	11317	21391
173	11369	21300
174	11430	21228
175	11495	21161
176	11546	21070
177	11617	21015
178	11676	20939
179	11732	20857
180	11801	20798
181	11860	20722
182	11915	20639
183	11981	20577
184	12042	20504
185	12105	20436
186	12178	20384
187	12234	20304
188	12300	20240
189	12357	20162
190	12410	20078
191	12486	20030
192	12544	19954
193	12608	19887
194	12675	19825
195	12731	19746
196	12799	19685
197	12859	19614
198	12912	19530
199	12985	19477
200	13038	19396
201	13104	19331
202	13171	19270
203	13228	19193
204	13296	19133
205	13355	19061
206	13410	18981
207	13483	18928
208	13536	18847
209	13593	18771
210	13661	18711
211	13718	18636
212	13775	18561
213	13850	18510
214	13905	18432
215	13973	18372
216	14028	18295
217	14083	18218
218	14149	18155
219	14207	18082
220	14260	18003
221	14332	17947
222	14384	17867
223	14450	17804
224	14518	17744
225	14574	17670
226	14654	17623
227	14711	17550
228	14774	17483
229	14849	17431
230	14906	17358
231	14978	17302
232	15040	17234
233	15093	17157
234	15161	17097
235	15217	17022
236	15273	16949
237	15339	16886
238	15398	16815
239	15455	16743
240	15521	16680
241	15581	16611
242	15639	16541
243	15706	16479
244	15766	16409
245	15829	16344
246	15896	16283
247	15951	16209
248	16021	16150
249	16081	16081
250	16140	16012
251	16210	15952
252	16271	15885
253	16328	15813
254	16393	15750
255	16450	15679
256	16508	15608
257	16574	15546
258	16635	15479
259	16690	15406
260	16762	15349
261	16816	15276
262	16874	15206
263	16934	15138
264	17003	15078
265	17062	15009
266	17130	14949
267	17191	14882
268	17247	14811
269	17351	14780
270	17663	14925
271	17871	14980
272	17954	14929
273	18045	14884
274	18133	14836
275	18193	14765
276	18261	14701
277	18321	14630
278	18376	14556
279	18450	14497
280	18503	14421
281	18565	14351
282	18631	14286
283	18687	14213
284	18759	14151
285	18816	14079
286	18872	14006
287	18934	13937
288	19003	13874
289	19057	13800
290	19124	13735
291	19193	13671
292	19254	13603
293	19319	13536
294	19377	13465
295	19431	13392
296	19497	13326
297	19551	13253
298	19618	13188
299	19689	13126
300	19742	13052
301	19811	12989
302	19866	12916
303	19921	12844
304	19996	12784
305	20053	12713
306	20117	12647
307	20188	12585
308	20244	12513
309	20314	12450
310	20373	12381
311	20430	12310
312	20498	12246
313	20556	12176
314	20620	12110
315	20684	12043
316	20747	11977
317	20800	11904
318	20871	11842
319	20933	11775
320	20987	11703
321	21053	11638
322	21135	11581
323	21187	11509
324	21258	11446
325	21328	11383
326	21387	11315
327	21461	11254
328	21516	11183
329	21574	11114
330	21637	11047
331	21699	10980
332	21762	10914
333	21829	10849
334	21886	10780
335	21954	10715
336	22014	10647
337	22075	10580
338	22144	10516
339	22202	10448
340	22260	10379
341	22324	10313
342	22380	10244
343	22441	10176
344	22509	10113
345	22563	10042
346	22631	9978
347	22699	9914
348	22751	9843
349	22824	9782
350	22887	9715
351	22945	9647
352	23013	9583
353	23068	9514
354	23126	9446
355	23195	9382
356	23254	9315
357	23308	9245
358	23372	9179
359	23442	9116
360	23500	9048
361	23574	8986
362	23632	8919
363	23689	8850
